time,PM1(ug/m3),PM10(ug/m3),PM2.5(ug/m3),RH(%),T(C)
2020-02-24 13:41:59.296000000,1.855,2.894,2.798,45.0,12.1
2020-02-24 13:42:00.672000000,2.226,2.689,2.677,44.9,12.1
2020-02-24 13:42:02.052000000,1.511,43.48,5.122000000000001,44.8,12.1
2020-02-24 13:42:03.424999940,1.927,2.007,2.007,44.8,12.1
2020-02-24 13:43:03.408000000,2.003,41.414,4.069,44.4,14.0
2020-02-24 13:43:04.784000000,1.963,2.6630000000000003,2.582,44.4,14.0
2020-02-24 13:43:06.160000000,2.395,3.867,3.703,44.3,14.0
2020-02-24 13:43:07.540999940,2.053,4.513999999999999,3.899,44.3,14.0
2020-02-24 13:44:02.015000060,2.002,2.225,2.2230000000000003,44.1,14.2
2020-02-24 13:44:03.387000060,1.5830000000000002,1.614,1.614,44.1,14.1
2020-02-24 13:44:04.763000060,2.017,9.445,7.191,44.1,14.2
2020-02-24 13:44:06.140000000,1.841,1.915,1.915,44.0,14.2
2020-02-24 13:45:00.625999870,1.941,2.713,2.628,43.9,14.3
2020-02-24 13:45:01.999000060,1.755,5.438,4.327,43.8,14.3
2020-02-24 13:45:03.374000130,1.868,3.775,3.207,43.8,14.3
2020-02-24 13:45:04.751000060,1.825,2.608,2.521,43.8,14.3
2020-02-24 13:45:59.228999940,1.652,88.54799999999999,2.274,43.7,14.5
2020-02-24 13:46:00.606000130,1.5590000000000002,2.525,2.4330000000000003,43.6,14.400000000000002
2020-02-24 13:46:01.982000130,1.801,3.721,3.185,43.6,14.400000000000002
2020-02-24 13:46:03.358000130,1.4280000000000002,1.459,1.459,43.5,14.400000000000002
2020-02-24 13:47:03.342000130,1.847,8.19,5.214,43.2,14.6
2020-02-24 13:47:04.718000130,2.112,2.161,2.161,43.1,14.6
2020-02-24 13:47:06.099000060,2.408,45.589,5.519,43.1,14.6
2020-02-24 13:47:07.471000060,2.082,2.217,2.216,43.1,14.6
2020-02-24 13:48:01.953999870,1.3630000000000002,5.787999999999999,3.319,42.9,14.7
2020-02-24 13:48:03.329999870,2.392,3.228,3.142,42.9,14.7
2020-02-24 13:48:04.702000130,1.773,3.674,3.119,42.8,14.7
2020-02-24 13:48:06.078000130,1.963,2.718,2.635,42.7,14.7
2020-02-24 13:49:00.561999870,2.1830000000000003,3.182,3.087,42.6,14.8
2020-02-24 13:49:01.936999940,2.021,4.843,4.191,42.5,14.8
2020-02-24 13:49:03.312999940,1.5490000000000002,1.5759999999999998,1.5759999999999998,42.5,14.8
2020-02-24 13:49:04.688999940,1.733,2.041,2.03,42.4,14.8
2020-02-24 13:49:59.172000000,1.97,3.839,3.295,42.4,14.900000000000002
2020-02-24 13:50:00.552999940,1.816,40.681,2.698,42.2,14.900000000000002
2020-02-24 13:50:01.924999940,1.841,1.966,1.965,42.0,14.900000000000002
2020-02-24 13:50:03.300999940,1.645,1.73,1.729,42.0,14.900000000000002
2020-02-24 13:51:03.288999940,2.167,2.525,2.514,42.0,15.0
2020-02-24 13:51:04.664999940,2.202,8.976,5.956,42.0,15.0
2020-02-24 13:51:06.041999870,1.963,3.826,3.283,41.9,15.0
2020-02-24 13:51:07.416999940,1.64,6.14,3.773,41.9,15.0
2020-02-24 13:52:01.892999940,1.7519999999999998,1.909,1.907,41.9,15.1
2020-02-24 13:52:03.264999940,1.725,1.765,1.765,41.8,15.1
2020-02-24 13:52:04.640999940,1.838,3.668,3.147,41.7,15.1
2020-02-24 13:52:06.016000000,1.487,98.583,1.526,41.7,15.1
2020-02-24 13:53:00.504000000,1.951,2.802,2.72,41.8,15.1
2020-02-24 13:53:01.876000000,1.5830000000000002,1.611,1.611,41.7,15.2
2020-02-24 13:53:03.252000000,2.093,2.661,2.64,41.7,15.1
2020-02-24 13:53:04.628000000,1.705,85.26799999999999,2.033,41.6,15.2
2020-02-24 13:53:59.115000060,1.692,14.546,5.791,41.7,15.2
2020-02-24 13:54:00.496000000,2.022,4.732,4.061,41.6,15.2
2020-02-24 13:54:01.872999940,2.9160000000000004,121.334,9.058,41.5,15.2
2020-02-24 13:54:03.248999940,2.1630000000000003,2.254,2.254,41.5,15.2
2020-02-24 13:55:03.228000000,2.044,2.8760000000000003,2.789,41.3,15.3
2020-02-24 13:55:04.604000000,2.07,2.434,2.423,41.3,15.3
2020-02-24 13:55:05.980000000,1.955,4.158,3.596,41.3,15.3
2020-02-24 13:55:07.356000000,1.707,10.313,5.534,41.2,15.3
2020-02-24 13:56:01.836000000,1.5830000000000002,1.6569999999999998,1.6569999999999998,41.1,15.3
2020-02-24 13:56:03.212000000,1.729,6.135,3.728,41.0,15.400000000000002
2020-02-24 13:56:04.588000000,1.894,1.978,1.977,41.1,15.3
2020-02-24 13:56:05.964000000,2.338,3.676,3.572,41.0,15.3
2020-02-24 14:02:05.275000060,1.556,12.015,4.181,40.4,13.9
2020-02-24 14:02:06.652000000,1.973,2.815,2.7310000000000003,40.4,13.9
2020-02-24 14:02:08.028999940,1.643,7.676,4.765,40.4,13.999999999999998
2020-02-24 14:02:09.404999940,1.548,1.6230000000000002,1.622,40.3,13.9
2020-02-24 14:03:09.392999940,2.044,2.342,2.339,40.3,15.7
2020-02-24 14:03:10.768999940,2.205,4.319,3.763,40.4,15.7
2020-02-24 14:03:12.140999940,1.887,2.917,2.823,40.3,15.7
2020-02-24 14:03:13.516999940,1.6880000000000002,2.445,2.362,40.3,15.7
2020-02-24 14:04:08.004000000,1.659,1.74,1.74,40.3,15.7
2020-02-24 14:04:09.380999940,2.056,2.389,2.378,40.3,15.7
2020-02-24 14:04:10.756999940,1.783,1.87,1.869,40.2,15.7
2020-02-24 14:04:12.134000130,1.6969999999999998,65.992,1.811,40.2,15.7
2020-02-24 14:05:06.608999940,1.7280000000000002,65.36,2.5660000000000003,40.1,15.7
2020-02-24 14:05:07.980999940,2.097,8.336,5.765,40.0,15.7
2020-02-24 14:05:09.356999940,2.815,4.718,4.543,39.9,15.7
2020-02-24 14:05:10.736999940,1.928,35.589,3.746,39.9,15.7
2020-02-24 14:06:05.220000000,1.692,1.739,1.739,40.2,15.8
2020-02-24 14:06:06.596999940,2.201,2.702,2.69,40.1,15.8
2020-02-24 14:06:07.974000130,1.695,2.194,2.174,40.1,15.8
2020-02-24 14:06:09.348999940,2.34,4.613,4.373,40.0,15.8
2020-02-24 14:07:09.337999870,1.641,1.935,1.924,40.0,15.8
2020-02-24 14:07:10.713999870,1.774,38.971,2.739,40.0,15.8
2020-02-24 14:07:12.086000130,2.1830000000000003,3.715,3.551,40.0,15.8
2020-02-24 14:07:13.462000130,1.705,2.678,2.585,40.0,15.8
2020-02-24 14:08:07.940999940,2.299,3.775,3.609,40.1,15.8
2020-02-24 14:08:09.318000130,1.889,2.2230000000000003,2.212,40.1,15.8
2020-02-24 14:08:10.694000130,2.285,4.506,3.931,40.0,15.8
2020-02-24 14:08:12.070000130,2.443,16.496,8.716000000000001,40.0,15.8
2020-02-24 14:09:06.553999870,3.039,3.549,3.535,40.2,15.8
2020-02-24 14:09:07.928999940,1.672,6.43,3.775,40.1,15.8
2020-02-24 14:09:09.305999870,1.661,1.998,1.986,40.1,15.8
2020-02-24 14:09:10.681999870,2.048,8.161,6.307,40.1,15.8
2020-02-24 14:10:05.161999870,2.101,25.258000000000003,3.809,40.0,15.8
2020-02-24 14:10:06.537999870,2.006,8.354,5.519,40.0,15.900000000000002
2020-02-24 14:10:07.913999870,2.194,25.96,5.152,39.9,15.8
2020-02-24 14:10:09.286000130,1.381,1.406,1.406,39.8,15.8
2020-02-24 14:11:09.283000060,2.189,18.378,8.072000000000001,40.1,15.900000000000002
2020-02-24 14:11:10.659000060,1.655,6.273,3.864,40.1,15.900000000000002
2020-02-24 14:11:12.033999870,1.869,3.811,3.258,40.0,15.900000000000002
2020-02-24 14:11:13.407000060,1.791,4.382,3.752,40.0,15.8
2020-02-24 14:12:07.881999870,2.25,7.596,5.086,39.9,15.900000000000002
2020-02-24 14:12:09.255000060,1.984,2.25,2.248,39.9,15.900000000000002
2020-02-24 14:12:10.631000060,2.074,4.959,4.314,39.9,15.900000000000002
2020-02-24 14:12:12.007000060,1.834,4.062,3.507,39.8,15.900000000000002
2020-02-24 14:13:06.483000060,1.82,12.702,4.589,39.6,15.900000000000002
